,city,country,name,street,tel_number,website,zip_code,
0,Sassuolo,Italy,A ZETA GOMMA - FornitureIndustriali s.p.A.,Via Radici in Piano 449/1,+39 0536 867111,http://www.azetagomma.com,41049,
1,Eyüp,Turkey,AAG Makina Basingli Hava Sist.San Tic. Ltd. Sti.,"Merkez Mah., Pierre LotiIdris Köskü Caddesi Kutucu Sokak No. 3",+90 212 5634381,http://www.aagmakina.com,34050,
2,Horsens,Denmark,Aage Östergaard A/S,Islandsvej 25,+45 7562 1144,http://www.aaosteel.dk,8700,
3,Rickenbach,Switzerland,Aareplast AG,Industriestrasse West 19,+41 62 2062100,http://www.aareplast.com,4613,
4,Nürnberg,Germany,AAT Aston GmbHGeräte für Elektronikfertigung undKabelbearbeitung,Konradstr. 7,+49 911 3266 0,http://www.aston.de,90429,
5,Brasov,Romania,AATEQ SRL,Soseaua Cristianului 63B,+40 268 334174,http://www.aateq.com,507055,
6,Rhede,Germany,AB Federn GmbH,Am Spiek 6,+49 4964 6059 0,http://www.abfedern.de,26899,
7,Liepaja,Latvia,SIA AB Metal,Brivibas Iela 31/33,+371 63422482,http://www.metal.lv,3401,
8,62,Sweden,AB Motala Verkstad,Linjegatan 14,+46 141 2299 00,http://www.mvg.se,591,
9,Mannheim,Germany,ABB AG,Kallstadter Straße 1,+49 621 4381 0,http://new.abb.com/de,68309,
10,Mannheim,Germany,ABB AG,Kallstadter Str. 1,+49 621 4381 0,http://new.abb.com/de,68309,
11,PD36,Ireland,Abbey Seals InternationalLtd.,John F. Kennedy RoadJohn F. Kennedy Ind Est,+353 1 4277900,http://www.abbeyseals.ie,D12,
12,Shenzhen,China,ABC Packaging,Building 224Xixiang Street,+86 15 012556906,NaN,518102,
13,Langquaid,Germany,ABITRON Germany GmbH,Adalbert-Stifter-Str. 2,+49 9452 189 0,http://www.abitronremote.com,84085,
14,Ningde,China,"Able Electric (Ningde) Co., Ltd.",No. 9 Jinwan RoadZhangwan Industrial Area,+86 593 6161251,http://www.ablecn.com,352000,
15,Dortmund,Germany,ABP Induction Systems GmbH,Kanalstr. 25,+49 231 997 0,http://www.abpinduction.com,44147,
16,Les,France,Absoger SAS,521 Chemin de la Graviére,+33 5 63316376,http://www.absoger.fr,82100,
17,Abu,United Arab Emirates,Abu Dhabi Chamber of Commerceand Industry,Main Bldg. Of Abu Dhabi Chamber 7P.O. Box 662Corniche Road,+971 2 6214000,http://www.abudhabichamber.ae,,
18,Abu,United Arab Emirates,Abu Dhabi Department ofEconomic Development (ADDED),Bani Yas TowersP.O. Box 12Al Salam Street,+971 2 8158888,https://ded.abudhabi.ae/ar/,,
19,Abu,United Arab Emirates,Abu Dhabi Ports Company PJSC,P.O. Box 54477Sheikh Khalifa bin Zayed StreetEnd of Mina Road,+971 2 6952000,http://www.adpc.com,,
20,Abu,United Arab Emirates,Abu Dhabi TechnologyDevelopment CommitteeTakamul,P.O. Box 12Al-Salam Baniyas Tower 10,+971 2 4031280,http://www.takamul.gov.ae,,
21,Didenheim,France,ACCELINN SAS,1 Rue des Vosges,+33 3 89590120,http://www.accelinn.com,68350,
22,Kronberg,Germany,Accenture GmbH,Campus Kronberg 1,+49 6173 94 99,http://www.accenture.de,61476,
